Date,Close,High,Low,Open,Volume
2007-01-03,11.604402542114258,11.829496318607822,11.443585299063512,11.564942047329343,309415434
2007-01-04,11.993291854858398,12.01041553945619,11.623263474651603,11.639395087844283,316686586
2007-01-05,12.090824127197266,12.098517431562128,11.865481388749343,11.974430589841244,275914333
2007-01-08,12.00123405456543,12.157336109104872,11.966985735318469,12.10323305823709,190888826
2007-01-09,12.048884391784668,12.117132065010864,11.942168293223707,12.047642401964191,216062832
2007-01-10,12.147160530090332,12.248663496430057,11.963014406549446,12.022327731828364,239634856
2007-01-11,12.401787757873535,12.452167690721232,12.313934323095346,12.339247348185355,289408724
2007-01-12,12.532822608947754,12.532822608947754,12.408735773852165,12.458121729854929,179618741
2007-01-16,12.514954566955566,12.731362961168413,12.490633614442642,12.596107714785385,303890804
2007-01-17,12.341232299804688,12.601567398770387,12.269261516537432,12.492866220118657,268968395
2007-01-18,12.106708526611328,12.32137986035415,12.09678116049941,12.272736051483747,238169384
2007-01-19,12.154356956481934,12.179422913546995,12.079657021502618,12.110430239851048,199878396
2007-01-22,11.933234214782715,12.226327641191054,11.875160028450038,12.222605472983032,216982266
2007-01-23,11.888810157775879,12.030269650138202,11.84513146066688,11.931991868948014,187319498
2007-01-24,12.385655403137207,12.397319843574868,11.994036188123903,12.022824312202026,243280470
2007-01-25,12.113160133361816,12.520414935505936,12.052853786917176,12.433553575094175,255694828
2007-01-26,12.305495262145996,12.356619245424524,12.086853759978275,12.183641533079598,220684089
2007-01-29,12.221860885620117,12.377714925174638,12.172970959998572,12.359102182980443,191744020
2007-01-30,12.267772674560547,12.35910120357382,12.190838682557262,12.259830402291634,167846782
2007-01-31,12.445961952209473,12.5328233118036,12.29730518942956,12.321627092313463,490074058
2007-02-01,11.955818176269531,12.55788957855217,11.95035703232235,12.557641560704559,628695706
2007-02-02,11.949612617492676,12.036473976607205,11.85803606863626,11.977159702423656,252402534
2007-02-05,11.593730926513672,11.8627523652728,11.569657041286304,11.850342920764069,289356529
2007-02-06,11.70094108581543,11.746109791110174,11.59621198857269,11.61705879093644,213673912
2007-02-07,11.664461135864258,11.772168352613177,11.633934984460646,11.759014854053571,165409681
2007-02-08,11.689774513244629,11.757278133048864,11.543847835946355,11.615818628022783,163679219
2007-02-09,11.462944030761719,11.730723507357009,11.453264682053435,11.705162462697267,195072449
2007-02-12,11.3735990524292,11.475350982683313,11.292445906165433,11.432913325524808,231042771
2007-02-13,11.39370059967041,11.485029127001084,11.348036811135016,11.394941639080807,163113105
2007-02-14,11.563204765319824,11.642620838904461,11.396679313713218,11.416037058858093,228806420
2007-02-15,11.452518463134766,11.568167947806286,11.433905721819754,11.564941815332478,162302076
2007-02-16,11.66272258758545,11.667934763309002,11.467160994229792,11.48552666792334,248006116
2007-02-20,11.716328620910645,11.732460233464346,11.532926554105174,11.626240178607322,163313855
2007-02-21,11.80964183807373,11.879626578906459,11.608124022933698,11.660241026938843,226469694
2007-02-22,11.809393882751465,12.017612948536064,11.77316142006332,11.879875615554381,230617182
2007-02-23,11.67959976196289,11.836693890542062,11.609614064933986,11.806912742870187,155886118
2007-02-26,11.538387298583984,11.79450229602819,11.509102189107411,11.734444920337719,159391206
2007-02-27,11.137337684631348,11.411074324282508,11.097629171062872,11.29195068409703,373908266
2007-02-28,11.154212951660156,11.258943000252353,10.99513278575559,11.178036918635213,322496281
2007-03-01,11.123936653137207,11.227921706196641,10.919688715502035,10.985951296695948,348710170
2007-03-02,10.88692855834961,11.13559923081972,10.88692855834961,11.04650475952595,264331078
